transaction_id,bank_settlement_id,settlement_date,amount_inr,currency
TXN-000001,BNK-000001,2025-03-05,82000,INR
TXN-000002,BNK-000002,2025-05-25,202783,INR
TXN-000003,BNK-000003,2025-05-14,200600,INR
TXN-000004,BNK-000004,2025-05-22,143900,INR
TXN-000005,BNK-000005,2025-09-23,109350,INR
TXN-000007,BNK-000007,2025-12-16,50200,INR
TXN-000008,BNK-000008,2025-06-10,201450,INR
TXN-000009,BNK-000009,2025-01-31,79149,INR
TXN-000010,BNK-000010,2025-08-05,109550,INR
TXN-000011,BNK-000011,2025-10-23,98850,INR
TXN-000012,BNK-000012,2025-05-18,37200,INR
TXN-000014,BNK-000014,2025-01-08,147400,INR
TXN-000015,BNK-000015,2025-10-05,208450,INR
TXN-000016,BNK-000016,2025-04-04,53863,INR
TXN-000017,BNK-000017,2025-08-06,103300,INR
TXN-000018,BNK-000018,2025-03-10,36600,INR
TXN-000019,BNK-000019,2025-10-07,139250,INR
TXN-000021,BNK-000021,2025-02-02,136850,INR
TXN-000022,BNK-000022,2025-08-12,179750,INR
TXN-000023,BNK-000023,2025-11-08,80377,INR
TXN-000024,BNK-000024,2025-10-19,100050,INR
TXN-000025,BNK-000025,2025-10-28,26550,INR
TXN-000026,BNK-000026,2025-07-19,186550,INR
TXN-000028,BNK-000028,2025-11-09,197150,INR
TXN-000029,BNK-000029,2025-03-13,57750,INR
TXN-000030,BNK-000030,2025-03-12,190704,INR
TXN-000031,BNK-000031,2025-12-13,13350,INR
TXN-000032,BNK-000032,2025-09-13,220600,INR
TXN-000033,BNK-000033,2025-04-08,133250,INR
TXN-000035,BNK-000035,2025-03-27,243450,INR
TXN-000036,BNK-000036,2025-08-06,76500,INR
TXN-000037,BNK-000037,2025-01-11,92554,INR
TXN-000038,BNK-000038,2025-03-10,229750,INR
TXN-000039,BNK-000039,2025-07-08,3200,INR
TXN-000040,BNK-000040,2025-03-08,120900,INR
TXN-000042,BNK-000042,2025-03-06,198750,INR
TXN-000043,BNK-000043,2025-09-12,87150,INR
TXN-000044,BNK-000044,2025-07-12,140328,INR
TXN-000045,BNK-000045,2025-12-08,83300,INR
TXN-000046,BNK-000046,2025-12-30,16300,INR
TXN-000047,BNK-000047,2025-09-20,196800,INR
TXN-000049,BNK-000049,2025-07-25,127850,INR
TXN-000050,BNK-000050,2025-07-18,57050,INR
TXN-000051,BNK-000051,2025-01-18,100459,INR
TXN-000052,BNK-000052,2025-12-04,48850,INR
TXN-000053,BNK-000053,2025-07-21,14550,INR
TXN-000054,BNK-000054,2025-03-06,32900,INR
TXN-000056,BNK-000056,2025-12-28,38750,INR
TXN-000057,BNK-000057,2025-10-10,64750,INR
TXN-000058,BNK-000058,2025-09-05,162865,INR
TXN-000059,BNK-000059,2025-08-13,155700,INR
TXN-000060,BNK-000060,2025-02-04,162450,INR
TXN-000061,BNK-000061,2025-03-17,121800,INR
TXN-000063,BNK-000063,2025-08-06,53450,INR
TXN-000064,BNK-000064,2025-09-15,146750,INR
TXN-000065,BNK-000065,2025-01-28,76105,INR
TXN-000066,BNK-000066,2026-01-02,130300,INR
TXN-000067,BNK-000067,2025-12-22,23150,INR
TXN-000068,BNK-000068,2025-05-13,70750,INR
TXN-000070,BNK-000070,2025-10-01,12350,INR
TXN-000071,BNK-000071,2025-01-08,111200,INR
TXN-000072,BNK-000072,2025-09-04,165123,INR
TXN-000073,BNK-000073,2025-03-10,122200,INR
