transaction_id,gateway_transaction_id,transaction_date,amount_inr,fee_inr,currency
TXN-000001,GW-000001,2025-03-03,82000,0,INR
TXN-000002,GW-000002,2025-05-24,206500,3717,INR
TXN-000003,GW-000003,2025-05-07,200600,0,INR
TXN-000004,GW-000004,2025-05-19,143900,0,INR
TXN-000005,GW-000005,2025-09-22,109350,0,INR
TXN-000005,GW-DUP-000005,2025-09-22,109350,0,INR
TXN-000006,GW-000006,2025-09-30,113150,0,INR
TXN-000007,GW-000007,2025-12-15,54900,0,INR
TXN-000008,GW-000008,2025-06-07,201450,0,INR
TXN-000009,GW-000009,2025-01-28,80600,1451,INR
TXN-000010,GW-000010,2025-07-29,109550,0,INR
TXN-000011,GW-000011,2025-10-20,98850,0,INR
TXN-000012,GW-000012,2025-05-17,37200,0,INR
TXN-000012,GW-DUP-000012,2025-05-17,37200,0,INR
TXN-000013,GW-000013,2025-07-17,230850,0,INR
TXN-000014,GW-000014,2025-01-07,153000,0,INR
TXN-000015,GW-000015,2025-10-02,208450,0,INR
TXN-000016,GW-000016,2025-04-02,54850,987,INR
TXN-000017,GW-000017,2025-07-27,103300,0,INR
TXN-000018,GW-000018,2025-03-08,36600,0,INR
TXN-000019,GW-000019,2025-10-05,139250,0,INR
TXN-000019,GW-DUP-000019,2025-10-05,139250,0,INR
TXN-000020,GW-000020,2025-08-26,221000,0,INR
TXN-000021,GW-000021,2025-02-01,139700,0,INR
TXN-000022,GW-000022,2025-08-10,179750,0,INR
TXN-000023,GW-000023,2025-11-06,81850,1473,INR
TXN-000024,GW-000024,2025-10-12,100050,0,INR
TXN-000025,GW-000025,2025-10-27,26550,0,INR
TXN-000026,GW-000026,2025-07-18,186550,0,INR
TXN-000026,GW-DUP-000026,2025-07-18,186550,0,INR
TXN-000027,GW-000027,2025-04-19,208650,0,INR
TXN-000028,GW-000028,2025-11-06,207050,0,INR
TXN-000029,GW-000029,2025-03-12,57750,0,INR
TXN-000030,GW-000030,2025-03-10,194200,3496,INR
TXN-000031,GW-000031,2025-12-03,13350,0,INR
TXN-000032,GW-000032,2025-09-11,220600,0,INR
TXN-000033,GW-000033,2025-04-06,133250,0,INR
TXN-000033,GW-DUP-000033,2025-04-06,133250,0,INR
TXN-000034,GW-000034,2025-02-12,189600,0,INR
TXN-000035,GW-000035,2025-03-26,244200,0,INR
TXN-000036,GW-000036,2025-08-03,76500,0,INR
TXN-000037,GW-000037,2025-01-10,94250,1696,INR
TXN-000038,GW-000038,2025-02-28,229750,0,INR
TXN-000039,GW-000039,2025-07-05,3200,0,INR
TXN-000040,GW-000040,2025-03-07,120900,0,INR
TXN-000040,GW-DUP-000040,2025-03-07,120900,0,INR
TXN-000041,GW-000041,2025-03-19,148350,0,INR
TXN-000042,GW-000042,2025-03-05,202450,0,INR
TXN-000043,GW-000043,2025-09-11,87150,0,INR
TXN-000044,GW-000044,2025-07-09,142900,2572,INR
TXN-000045,GW-000045,2025-11-28,83300,0,INR
TXN-000046,GW-000046,2025-12-27,16300,0,INR
TXN-000047,GW-000047,2025-09-19,196800,0,INR
TXN-000047,GW-DUP-000047,2025-09-19,196800,0,INR
TXN-000048,GW-000048,2025-03-30,147250,0,INR
TXN-000049,GW-000049,2025-07-23,136550,0,INR
TXN-000050,GW-000050,2025-07-15,57050,0,INR
TXN-000051,GW-000051,2025-01-15,102300,1841,INR
TXN-000052,GW-000052,2025-11-20,48850,0,INR
TXN-000053,GW-000053,2025-07-19,14550,0,INR
TXN-000054,GW-000054,2025-03-04,32900,0,INR
TXN-000054,GW-DUP-000054,2025-03-04,32900,0,INR
TXN-000055,GW-000055,2025-10-23,55150,0,INR
TXN-000056,GW-000056,2025-12-26,45100,0,INR
TXN-000057,GW-000057,2025-10-08,64750,0,INR
TXN-000058,GW-000058,2025-09-04,165850,2985,INR
TXN-000059,GW-000059,2025-08-03,155700,0,INR
TXN-000060,GW-000060,2025-02-01,162450,0,INR
TXN-000061,GW-000061,2025-03-16,121800,0,INR
TXN-000061,GW-DUP-000061,2025-03-16,121800,0,INR
TXN-000062,GW-000062,2025-03-15,237200,0,INR
TXN-000063,GW-000063,2025-08-04,58250,0,INR
TXN-000064,GW-000064,2025-09-14,146750,0,INR
TXN-000065,GW-000065,2025-01-26,77500,1395,INR
TXN-000066,GW-000066,2025-12-23,130300,0,INR
TXN-000067,GW-000067,2025-12-21,23150,0,INR
TXN-000068,GW-000068,2025-05-10,70750,0,INR
TXN-000068,GW-DUP-000068,2025-05-10,70750,0,INR
TXN-000069,GW-000069,2025-02-16,32500,0,INR
TXN-000070,GW-000070,2025-09-28,12900,0,INR
TXN-000071,GW-000071,2025-01-06,111200,0,INR
TXN-000072,GW-000072,2025-09-03,168150,3027,INR
TXN-000073,GW-000073,2025-03-03,122200,0,INR
TXN-000074,GW-000074,2025-05-05,104550,0,INR
TXN-000075,GW-000075,2025-12-25,10950,0,INR
TXN-000075,GW-DUP-000075,2025-12-25,10950,0,INR
TXN-000076,GW-000076,2025-03-20,191950,0,INR
TXN-000077,GW-000077,2025-04-26,206250,0,INR
TXN-000078,GW-000078,2025-10-25,150950,0,INR
TXN-000079,GW-000079,2025-11-28,160450,2888,INR
TXN-000080,GW-000080,2025-04-15,152700,0,INR
TXN-000081,GW-000081,2025-09-27,46500,0,INR
TXN-000082,GW-000082,2025-10-23,108100,0,INR
TXN-000082,GW-DUP-000082,2025-10-23,108100,0,INR
TXN-000083,GW-000083,2025-10-12,195550,0,INR
TXN-000084,GW-000084,2025-07-18,108950,0,INR
TXN-000085,GW-000085,2025-04-17,103850,0,INR
TXN-000086,GW-000086,2025-08-11,209000,3762,INR
TXN-000087,GW-000087,2025-10-21,172900,0,INR
TXN-000088,GW-000088,2025-04-02,158400,0,INR
TXN-000089,GW-000089,2025-02-03,77900,0,INR
TXN-000089,GW-DUP-000089,2025-02-03,77900,0,INR
TXN-000090,GW-000090,2025-11-01,122750,0,INR
TXN-000091,GW-000091,2025-03-05,123950,0,INR
TXN-000092,GW-000092,2025-01-17,112950,0,INR
TXN-000093,GW-000093,2025-07-15,49450,890,INR
TXN-000094,GW-000094,2025-09-27,175150,0,INR
TXN-000095,GW-000095,2025-03-25,130600,0,INR
TXN-000096,GW-000096,2025-10-17,238450,0,INR
TXN-000096,GW-DUP-000096,2025-10-17,238450,0,INR
TXN-000097,GW-000097,2025-10-01,213850,0,INR
TXN-000098,GW-000098,2025-02-11,81500,0,INR
TXN-000099,GW-000099,2025-06-20,103550,0,INR
TXN-000100,GW-000100,2025-04-21,224550,4042,INR
TXN-000101,GW-000101,2025-04-25,133650,0,INR
TXN-000102,GW-000102,2025-06-23,73400,0,INR
TXN-000103,GW-000103,2025-07-08,233750,0,INR
TXN-000103,GW-DUP-000103,2025-07-08,233750,0,INR
TXN-000104,GW-000104,2025-01-23,52450,0,INR
TXN-000105,GW-000105,2025-02-25,66900,0,INR
TXN-000106,GW-000106,2025-06-30,243950,0,INR
TXN-000107,GW-000107,2025-07-29,5300,95,INR
TXN-000108,GW-000108,2025-06-15,88150,0,INR
TXN-000109,GW-000109,2025-08-26,1900,0,INR
TXN-000110,GW-000110,2025-03-09,221750,0,INR
TXN-000110,GW-DUP-000110,2025-03-09,221750,0,INR
TXN-000111,GW-000111,2025-05-29,21750,0,INR
TXN-000112,GW-000112,2025-01-16,56850,0,INR
TXN-000113,GW-000113,2025-05-06,71400,0,INR
TXN-000114,GW-000114,2025-01-12,10200,184,INR
TXN-000115,GW-000115,2025-12-27,8200,0,INR
TXN-000116,GW-000116,2025-07-31,107550,0,INR
TXN-000117,GW-000117,2025-10-12,232650,0,INR
TXN-000117,GW-DUP-000117,2025-10-12,232650,0,INR
TXN-000118,GW-000118,2025-06-13,41600,0,INR
TXN-000119,GW-000119,2025-05-17,229550,0,INR
TXN-000120,GW-000120,2025-02-05,165700,0,INR
TXN-000121,GW-000121,2025-02-04,83750,1507,INR
TXN-000122,GW-000122,2025-10-07,81350,0,INR
TXN-000123,GW-000123,2025-02-07,118900,0,INR
TXN-000124,GW-000124,2025-11-16,44150,0,INR
TXN-000124,GW-DUP-000124,2025-11-16,44150,0,INR
TXN-000125,GW-000125,2025-03-18,104200,0,INR
TXN-000126,GW-000126,2025-09-18,115200,0,INR
TXN-000127,GW-000127,2025-04-01,78200,0,INR
TXN-000128,GW-000128,2025-05-01,107950,1943,INR
TXN-000129,GW-000129,2025-05-02,206200,0,INR
TXN-000130,GW-000130,2025-06-22,57600,0,INR
TXN-000131,GW-000131,2025-06-07,192500,0,INR
TXN-000131,GW-DUP-000131,2025-06-07,192500,0,INR
TXN-000132,GW-000132,2025-04-13,191250,0,INR
TXN-000133,GW-000133,2025-10-11,83800,0,INR
TXN-000134,GW-000134,2025-04-30,132400,0,INR
TXN-000135,GW-000135,2025-08-17,190850,3435,INR
TXN-000136,GW-000136,2025-10-12,71750,0,INR
TXN-000137,GW-000137,2025-04-14,187300,0,INR
TXN-000138,GW-000138,2025-05-25,68450,0,INR
TXN-000138,GW-DUP-000138,2025-05-25,68450,0,INR
TXN-000139,GW-000139,2025-10-05,209350,0,INR
TXN-000140,GW-000140,2025-11-21,99350,0,INR
TXN-000141,GW-000141,2025-07-17,164050,0,INR
TXN-000142,GW-000142,2025-07-14,221600,3989,INR
TXN-000143,GW-000143,2025-09-15,36600,0,INR
TXN-000144,GW-000144,2025-01-06,73750,0,INR
TXN-000145,GW-000145,2025-04-04,215950,0,INR
TXN-000145,GW-DUP-000145,2025-04-04,215950,0,INR
TXN-000146,GW-000146,2025-08-04,138350,0,INR
TXN-000147,GW-000147,2025-10-03,94400,0,INR
TXN-000148,GW-000148,2025-11-05,233500,0,INR
TXN-000149,GW-000149,2025-09-09,77800,1400,INR
TXN-000150,GW-000150,2025-01-08,11500,0,INR
TXN-000151,GW-000151,2025-08-07,237700,0,INR
TXN-000152,GW-000152,2025-11-28,50450,0,INR
TXN-000152,GW-DUP-000152,2025-11-28,50450,0,INR
TXN-000153,GW-000153,2025-06-18,9550,0,INR
TXN-000154,GW-000154,2025-05-09,57000,0,INR
TXN-000155,GW-000155,2025-02-18,135000,0,INR
TXN-000156,GW-000156,2025-07-29,218250,3928,INR
TXN-000157,GW-000157,2025-01-06,106600,0,INR
TXN-000158,GW-000158,2025-05-22,144100,0,INR
TXN-000159,GW-000159,2025-01-31,103300,0,INR
TXN-000159,GW-DUP-000159,2025-01-31,103300,0,INR
TXN-000160,GW-000160,2025-12-25,167000,0,INR
TXN-000161,GW-000161,2025-05-24,134150,0,INR
TXN-000162,GW-000162,2025-04-09,30100,0,INR
TXN-000163,GW-000163,2025-12-07,104600,1883,INR
TXN-000164,GW-000164,2025-12-05,132250,0,INR
