transaction_id,scenario,expected_outcome,expected_invoice_amount_inr,expected_gateway_amount_inr,expected_bank_amount_inr,expected_gateway_fee_inr,human_review_required
TXN-000001,exact_match,matched,82000,82000,82000,0,False
TXN-000002,gateway_fee_deduction,matched_after_gateway_fee,206500,206500,202783,3717,False
TXN-000003,settlement_timing_difference,matched_after_timing_difference,200600,200600,200600,0,False
TXN-000004,partial_payment,partial_payment,150050,143900,143900,0,True
TXN-000005,duplicate_transaction,duplicate_gateway_transaction,109350,109350,109350,0,True
TXN-000006,missing_bank_settlement,missing_bank_settlement,113150,113150,,0,True
TXN-000007,unexplained_discrepancy,unexplained_discrepancy,54900,54900,50200,0,True
TXN-000008,exact_match,matched,201450,201450,201450,0,False
TXN-000009,gateway_fee_deduction,matched_after_gateway_fee,80600,80600,79149,1451,False
TXN-000010,settlement_timing_difference,matched_after_timing_difference,109550,109550,109550,0,False
TXN-000011,partial_payment,partial_payment,105000,98850,98850,0,True
TXN-000012,duplicate_transaction,duplicate_gateway_transaction,37200,37200,37200,0,True
TXN-000013,missing_bank_settlement,missing_bank_settlement,230850,230850,,0,True
TXN-000014,unexplained_discrepancy,unexplained_discrepancy,153000,153000,147400,0,True
TXN-000015,exact_match,matched,208450,208450,208450,0,False
TXN-000016,gateway_fee_deduction,matched_after_gateway_fee,54850,54850,53863,987,False
TXN-000017,settlement_timing_difference,matched_after_timing_difference,103300,103300,103300,0,False
TXN-000018,partial_payment,partial_payment,40200,36600,36600,0,True
TXN-000019,duplicate_transaction,duplicate_gateway_transaction,139250,139250,139250,0,True
TXN-000020,missing_bank_settlement,missing_bank_settlement,221000,221000,,0,True
TXN-000021,unexplained_discrepancy,unexplained_discrepancy,139700,139700,136850,0,True
TXN-000022,exact_match,matched,179750,179750,179750,0,False
TXN-000023,gateway_fee_deduction,matched_after_gateway_fee,81850,81850,80377,1473,False
TXN-000024,settlement_timing_difference,matched_after_timing_difference,100050,100050,100050,0,False
TXN-000025,partial_payment,partial_payment,30350,26550,26550,0,True
TXN-000026,duplicate_transaction,duplicate_gateway_transaction,186550,186550,186550,0,True
TXN-000027,missing_bank_settlement,missing_bank_settlement,208650,208650,,0,True
TXN-000028,unexplained_discrepancy,unexplained_discrepancy,207050,207050,197150,0,True
TXN-000029,exact_match,matched,57750,57750,57750,0,False
TXN-000030,gateway_fee_deduction,matched_after_gateway_fee,194200,194200,190704,3496,False
TXN-000031,settlement_timing_difference,matched_after_timing_difference,13350,13350,13350,0,False
TXN-000032,partial_payment,partial_payment,230500,220600,220600,0,True
TXN-000033,duplicate_transaction,duplicate_gateway_transaction,133250,133250,133250,0,True
TXN-000034,missing_bank_settlement,missing_bank_settlement,189600,189600,,0,True
TXN-000035,unexplained_discrepancy,unexplained_discrepancy,244200,244200,243450,0,True
TXN-000036,exact_match,matched,76500,76500,76500,0,False
TXN-000037,gateway_fee_deduction,matched_after_gateway_fee,94250,94250,92554,1696,False
TXN-000038,settlement_timing_difference,matched_after_timing_difference,229750,229750,229750,0,False
TXN-000039,partial_payment,partial_payment,4200,3200,3200,0,True
TXN-000040,duplicate_transaction,duplicate_gateway_transaction,120900,120900,120900,0,True
TXN-000041,missing_bank_settlement,missing_bank_settlement,148350,148350,,0,True
TXN-000042,unexplained_discrepancy,unexplained_discrepancy,202450,202450,198750,0,True
TXN-000043,exact_match,matched,87150,87150,87150,0,False
TXN-000044,gateway_fee_deduction,matched_after_gateway_fee,142900,142900,140328,2572,False
TXN-000045,settlement_timing_difference,matched_after_timing_difference,83300,83300,83300,0,False
TXN-000046,partial_payment,partial_payment,18750,16300,16300,0,True
TXN-000047,duplicate_transaction,duplicate_gateway_transaction,196800,196800,196800,0,True
TXN-000048,missing_bank_settlement,missing_bank_settlement,147250,147250,,0,True
TXN-000049,unexplained_discrepancy,unexplained_discrepancy,136550,136550,127850,0,True
TXN-000050,exact_match,matched,57050,57050,57050,0,False
TXN-000051,gateway_fee_deduction,matched_after_gateway_fee,102300,102300,100459,1841,False
TXN-000052,settlement_timing_difference,matched_after_timing_difference,48850,48850,48850,0,False
TXN-000053,partial_payment,partial_payment,14750,14550,14550,0,True
TXN-000054,duplicate_transaction,duplicate_gateway_transaction,32900,32900,32900,0,True
TXN-000055,missing_bank_settlement,missing_bank_settlement,55150,55150,,0,True
TXN-000056,unexplained_discrepancy,unexplained_discrepancy,45100,45100,38750,0,True
TXN-000057,exact_match,matched,64750,64750,64750,0,False
TXN-000058,gateway_fee_deduction,matched_after_gateway_fee,165850,165850,162865,2985,False
TXN-000059,settlement_timing_difference,matched_after_timing_difference,155700,155700,155700,0,False
TXN-000060,partial_payment,partial_payment,167350,162450,162450,0,True
TXN-000061,duplicate_transaction,duplicate_gateway_transaction,121800,121800,121800,0,True
TXN-000062,missing_bank_settlement,missing_bank_settlement,237200,237200,,0,True
