transaction_id,invoice_date,amount_inr,currency
TXN-000001,2025-03-03,82000,INR
TXN-000002,2025-05-24,206500,INR
TXN-000003,2025-05-07,200600,INR
TXN-000004,2025-05-19,150050,INR
TXN-000005,2025-09-22,109350,INR
TXN-000006,2025-09-30,113150,INR
TXN-000007,2025-12-15,54900,INR
TXN-000008,2025-06-07,201450,INR
TXN-000009,2025-01-28,80600,INR
TXN-000010,2025-07-29,109550,INR
TXN-000011,2025-10-20,105000,INR
TXN-000012,2025-05-17,37200,INR
TXN-000013,2025-07-17,230850,INR
TXN-000014,2025-01-07,153000,INR
TXN-000015,2025-10-02,208450,INR
TXN-000016,2025-04-02,54850,INR
TXN-000017,2025-07-27,103300,INR
TXN-000018,2025-03-08,40200,INR
TXN-000019,2025-10-05,139250,INR
TXN-000020,2025-08-26,221000,INR
TXN-000021,2025-02-01,139700,INR
TXN-000022,2025-08-10,179750,INR
TXN-000023,2025-11-06,81850,INR
TXN-000024,2025-10-12,100050,INR
TXN-000025,2025-10-27,30350,INR
TXN-000026,2025-07-18,186550,INR
TXN-000027,2025-04-19,208650,INR
TXN-000028,2025-11-06,207050,INR
TXN-000029,2025-03-12,57750,INR
TXN-000030,2025-03-10,194200,INR
TXN-000031,2025-12-03,13350,INR
TXN-000032,2025-09-11,230500,INR
TXN-000033,2025-04-06,133250,INR
TXN-000034,2025-02-12,189600,INR
TXN-000035,2025-03-26,244200,INR
TXN-000036,2025-08-03,76500,INR
TXN-000037,2025-01-10,94250,INR
TXN-000038,2025-02-28,229750,INR
TXN-000039,2025-07-05,4200,INR
TXN-000040,2025-03-07,120900,INR
TXN-000041,2025-03-19,148350,INR
TXN-000042,2025-03-05,202450,INR
TXN-000043,2025-09-11,87150,INR
TXN-000044,2025-07-09,142900,INR
TXN-000045,2025-11-28,83300,INR
TXN-000046,2025-12-27,18750,INR
TXN-000047,2025-09-19,196800,INR
TXN-000048,2025-03-30,147250,INR
TXN-000049,2025-07-23,136550,INR
TXN-000050,2025-07-15,57050,INR
TXN-000051,2025-01-15,102300,INR
TXN-000052,2025-11-20,48850,INR
TXN-000053,2025-07-19,14750,INR
TXN-000054,2025-03-04,32900,INR
TXN-000055,2025-10-23,55150,INR
TXN-000056,2025-12-26,45100,INR
TXN-000057,2025-10-08,64750,INR
TXN-000058,2025-09-04,165850,INR
TXN-000059,2025-08-03,155700,INR
TXN-000060,2025-02-01,167350,INR
TXN-000061,2025-03-16,121800,INR
TXN-000062,2025-03-15,237200,INR
TXN-000063,2025-08-04,58250,INR
TXN-000064,2025-09-14,146750,INR
TXN-000065,2025-01-26,77500,INR
TXN-000066,2025-12-23,130300,INR
TXN-000067,2025-12-21,31200,INR
TXN-000068,2025-05-10,70750,INR
TXN-000069,2025-02-16,32500,INR
TXN-000070,2025-09-28,12900,INR
TXN-000071,2025-01-06,111200,INR
TXN-000072,2025-09-03,168150,INR
TXN-000073,2025-03-03,122200,INR
TXN-000074,2025-05-05,108800,INR
TXN-000075,2025-12-25,10950,INR
TXN-000076,2025-03-20,191950,INR
TXN-000077,2025-04-26,206250,INR
TXN-000078,2025-10-25,150950,INR
TXN-000079,2025-11-28,160450,INR
TXN-000080,2025-04-15,152700,INR
TXN-000081,2025-09-27,46950,INR
TXN-000082,2025-10-23,108100,INR
TXN-000083,2025-10-12,195550,INR
TXN-000084,2025-07-18,108950,INR
TXN-000085,2025-04-17,103850,INR
TXN-000086,2025-08-11,209000,INR
TXN-000087,2025-10-21,172900,INR
TXN-000088,2025-04-02,160500,INR
TXN-000089,2025-02-03,77900,INR
TXN-000090,2025-11-01,122750,INR
TXN-000091,2025-03-05,123950,INR
TXN-000092,2025-01-17,112950,INR
TXN-000093,2025-07-15,49450,INR
TXN-000094,2025-09-27,175150,INR
TXN-000095,2025-03-25,130950,INR
TXN-000096,2025-10-17,238450,INR
TXN-000097,2025-10-01,213850,INR
TXN-000098,2025-02-11,81500,INR
TXN-000099,2025-06-20,103550,INR
TXN-000100,2025-04-21,224550,INR
TXN-000101,2025-04-25,133650,INR
TXN-000102,2025-06-23,79650,INR
TXN-000103,2025-07-08,233750,INR
TXN-000104,2025-01-23,52450,INR
TXN-000105,2025-02-25,66900,INR
TXN-000106,2025-06-30,243950,INR
TXN-000107,2025-07-29,5300,INR
TXN-000108,2025-06-15,88150,INR
TXN-000109,2025-08-26,2000,INR
TXN-000110,2025-03-09,221750,INR
TXN-000111,2025-05-29,21750,INR
TXN-000112,2025-01-16,56850,INR
TXN-000113,2025-05-06,71400,INR
TXN-000114,2025-01-12,10200,INR
TXN-000115,2025-12-27,8200,INR
TXN-000116,2025-07-31,109150,INR
TXN-000117,2025-10-12,232650,INR
TXN-000118,2025-06-13,41600,INR
TXN-000119,2025-05-17,229550,INR
TXN-000120,2025-02-05,165700,INR
TXN-000121,2025-02-04,83750,INR
TXN-000122,2025-10-07,81350,INR
TXN-000123,2025-02-07,122350,INR
TXN-000124,2025-11-16,44150,INR
TXN-000125,2025-03-18,104200,INR
TXN-000126,2025-09-18,115200,INR
TXN-000127,2025-04-01,78200,INR
TXN-000128,2025-05-01,107950,INR
TXN-000129,2025-05-02,206200,INR
TXN-000130,2025-06-22,65400,INR
TXN-000131,2025-06-07,192500,INR
TXN-000132,2025-04-13,191250,INR
TXN-000133,2025-10-11,83800,INR
TXN-000134,2025-04-30,132400,INR
TXN-000135,2025-08-17,190850,INR
TXN-000136,2025-10-12,71750,INR
TXN-000137,2025-04-14,197100,INR
TXN-000138,2025-05-25,68450,INR
TXN-000139,2025-10-05,209350,INR
TXN-000140,2025-11-21,99350,INR
TXN-000141,2025-07-17,164050,INR
TXN-000142,2025-07-14,221600,INR
TXN-000143,2025-09-15,36600,INR
TXN-000144,2025-01-06,75650,INR
TXN-000145,2025-04-04,215950,INR
TXN-000146,2025-08-04,138350,INR
TXN-000147,2025-10-03,94400,INR
TXN-000148,2025-11-05,233500,INR
TXN-000149,2025-09-09,77800,INR
TXN-000150,2025-01-08,11500,INR
TXN-000151,2025-08-07,243200,INR
TXN-000152,2025-11-28,50450,INR
TXN-000153,2025-06-18,9550,INR
TXN-000154,2025-05-09,57000,INR
TXN-000155,2025-02-18,135000,INR
TXN-000156,2025-07-29,218250,INR
TXN-000157,2025-01-06,106600,INR
TXN-000158,2025-05-22,150000,INR
TXN-000159,2025-01-31,103300,INR
TXN-000160,2025-12-25,167000,INR
TXN-000161,2025-05-24,134150,INR
TXN-000162,2025-04-09,30100,INR
TXN-000163,2025-12-07,104600,INR
TXN-000164,2025-12-05,132250,INR
TXN-000165,2025-06-06,74500,INR
TXN-000166,2025-05-04,201550,INR
TXN-000167,2025-07-25,88450,INR
TXN-000168,2025-12-26,95900,INR
TXN-000169,2025-03-04,13800,INR
TXN-000170,2025-09-21,209150,INR
TXN-000171,2025-10-30,179650,INR
TXN-000172,2025-01-03,222350,INR
TXN-000173,2025-12-07,153500,INR
TXN-000174,2025-03-29,68050,INR
